                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8581,                 3.8366,                 1.4138,                0.01812,                  0.375,                0.02009,                0.00671,                 2.2829,                 3.6547,                  1.053,                 0.0002,                 0.0002,                 0.0002
                      1,                  2.411,                  2.173,                 1.1538,                0.02479,                0.51293,                0.02221,                0.00897,                 1.9867,                 3.2047,                  1.044,             0.00041584,             0.00041584,             0.00041584
                      2,                 2.2219,                 1.8112,                 1.0864,                0.02875,                0.59483,                0.10678,                0.05024,                 1.9444,                    2.9,                  1.069,             0.00062733,             0.00062733,             0.00062733
                      3,                 2.0785,                 1.5936,                 1.0838,                0.02667,                0.55172,                0.28263,                0.11244,                 2.1192,                 2.6555,                 1.1771,             0.00083446,             0.00083446,             0.00083446
                      4,                 2.1698,                 1.5367,                 1.0684,                0.02687,                0.55603,                0.37214,                  0.134,                 2.1862,                 2.4331,                 1.2095,              0.0010372,              0.0010372,              0.0010372
                      5,                 2.1502,                 1.4832,                 1.0909,                0.72123,                0.25431,                0.39395,                0.14914,                 1.9656,                 2.1519,                 1.1027,              0.0012357,              0.0012357,              0.0012357
                      6,                 2.0688,                 1.4319,                  1.043,                 0.6141,                0.35669,                0.39234,                0.14957,                 2.0884,                 1.8963,                 1.1388,              0.0014297,              0.0014297,              0.0014297
                      7,                  2.065,                 1.4238,                  1.054,                0.53556,                0.42672,                0.41486,                 0.1663,                 2.0379,                 1.6842,                 1.1196,              0.0016194,              0.0016194,              0.0016194
                      8,                 2.0548,                 1.3928,                 1.0607,                0.50791,                0.46121,                0.44163,                0.15655,                 2.1156,                 1.7462,                  1.144,              0.0018048,              0.0018048,              0.0018048
                      9,                 2.0915,                 1.3344,                 1.0695,                0.57417,                0.48276,                0.48008,                0.20772,                 1.8803,                 1.4924,                 1.0774,              0.0018218,              0.0018218,              0.0018218
                     10,                 2.0772,                 1.4567,                 1.0777,                0.60052,                0.48276,                0.49566,                0.20317,                  1.894,                 1.7682,                 1.0413,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0641,                 1.4021,                 1.0299,                0.61994,                0.45259,                  0.492,                0.21399,                 1.8634,                 1.3837,                  1.055,               0.001802,               0.001802,               0.001802
                     12,                 2.0103,                  1.319,                  1.049,                0.60771,                0.51293,                0.53038,                0.23057,                 1.8699,                 1.3017,                 1.0608,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.9737,                 1.2994,                 1.0511,                 0.5791,                0.50862,                0.53521,                 0.2334,                 1.9189,                 1.3193,                 1.0908,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.0107,                 1.2763,                 1.0684,                0.65466,                0.50662,                0.55856,                0.25354,                 1.8067,                 1.2115,                  1.042,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.9359,                 1.2605,                 1.0068,                0.65719,                0.51233,                0.54627,                0.25516,                 1.7795,                 1.2192,                 1.0259,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.9147,                 1.1989,                 1.0308,                 0.5934,                0.55603,                0.54407,                0.25709,                 1.7558,                 1.2656,                 1.0318,               0.001703,               0.001703,               0.001703
                     17,                 2.0304,                 1.3656,                 1.0391,                0.53162,                0.56466,                0.51974,                0.22459,                 1.8511,                  1.308,                 1.0744,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.9999,                 1.2557,                 1.0452,                0.57745,                0.48276,                0.50549,                0.22304,                 1.8654,                 1.2831,                 1.0657,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.9608,                  1.255,                 1.0303,                0.61398,                0.59052,                0.58504,                 0.2653,                 1.7608,                 1.1708,                 1.0269,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.9275,                 1.2294,                  1.028,                0.64594,                0.53472,                0.59167,                0.25746,                 1.7769,                  1.174,                 1.0234,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.8907,                 1.1918,                 1.0031,                0.61705,                0.52586,                0.55031,                0.25759,                 1.7957,                 1.1727,                 1.0253,               0.001604,               0.001604,               0.001604
                     22,                  1.933,                 1.1676,                 1.0289,                0.61938,                0.50862,                 0.5687,                0.25918,                 1.8205,                 1.1962,                 1.0278,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.9509,                 1.1832,                 1.0402,                0.56068,                0.55172,                0.55636,                0.24648,                 1.8694,                 1.1962,                 1.0434,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.8941,                 1.1914,                 1.0263,                0.62449,                0.53017,                0.57454,                0.27819,                  1.808,                 1.1328,                  1.034,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.9244,                 1.1658,                 1.0017,                0.59309,                0.55603,                0.56592,                0.27204,                 1.7826,                 1.1157,                 1.0329,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.8431,                 1.1098,                 0.9841,                0.63104,                0.54741,                0.54712,                0.25293,                 1.7817,                 1.1301,                 1.0373,               0.001505,               0.001505,               0.001505
                     27,                 1.8271,                  1.112,                0.98557,                0.68572,                0.52155,                0.55395,                0.27161,                 1.7374,                 1.0662,                 1.0244,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.8359,                 1.0723,                 1.0009,                0.70078,                0.53017,                0.57351,                0.27618,                 1.7911,                 1.1138,                 1.0363,              0.0014654,              0.0014654,              0.0014654
                     29,                  1.889,                 1.1305,                 1.0113,                0.68014,                0.52242,                0.57708,                0.25045,                 1.8336,                 1.1268,                 1.0313,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8618,                 1.0859,                  1.001,                0.67452,                0.53448,                 0.5699,                0.26601,                 1.7855,                 1.2166,                 1.0349,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.8412,                 1.1387,                0.98648,                0.62276,                0.54741,                 0.5533,                 0.2452,                 1.7734,                 1.1691,                 1.0182,               0.001406,               0.001406,               0.001406
                     32,                 1.8349,                 1.0835,                0.99328,                0.65165,                0.52586,                0.57145,                0.27369,                 1.7255,                 1.0794,                 1.0135,              0.0013862,              0.0013862,              0.0013862
                     33,                  1.804,                 1.0694,                0.98239,                0.58534,                0.59914,                0.59795,                 0.2814,                 1.7802,                 1.0641,                 1.0393,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.8033,                 1.0439,                0.98051,                0.67823,                0.55603,                0.60304,                0.28656,                 1.7354,                 1.0705,                 1.0197,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.7559,                 1.0249,                0.99049,                0.67223,                0.59229,                0.61435,                0.28989,                 1.7301,                 1.0177,                  1.022,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8396,                 1.0464,                0.97523,                0.59802,                0.60776,                0.59318,                0.27483,                 1.7572,                 1.0515,                 1.0235,               0.001307,               0.001307,               0.001307
                     37,                 1.7906,                 1.0497,                0.98717,                0.68822,                0.51293,                0.59229,                0.28936,                  1.733,                 1.0252,                  1.019,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7926,                 1.0639,                 0.9748,                0.66909,                0.53879,                0.61806,                0.29386,                 1.7246,                  1.012,                  1.014,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8128,                 1.0114,                0.97784,                0.60847,                0.56938,                0.57996,                0.25324,                 1.7945,                 1.0743,                  1.033,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8162,                 1.0578,                0.98287,                0.64382,                 0.5819,                0.60796,                0.29218,                 1.6927,                 1.0176,                 1.0153,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8596,                 1.0339,                  1.015,                0.65507,                0.57301,                0.59433,                0.26212,                 1.8102,                 1.0547,                 1.0453,               0.001208,               0.001208,               0.001208
                     42,                 1.7402,                 1.0121,                0.97862,                0.66115,                0.53879,                 0.5892,                0.28431,                 1.7574,                 1.0329,                 1.0375,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8607,                 1.0297,                0.98156,                0.61688,                0.58621,                0.61467,                0.28457,                 1.7513,                 1.0083,                 1.0241,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7438,                 1.0194,                0.98332,                0.61158,                0.62069,                0.62083,                0.28379,                 1.7628,                  1.032,                 1.0212,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7583,                0.99793,                0.99129,                0.62946,                0.59914,                0.60591,                 0.3079,                  1.665,                0.98156,                 1.0067,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.7397,                 1.0002,                0.96451,                0.62449,                0.60345,                0.61431,                0.28202,                 1.7631,                0.99986,                 1.0156,               0.001109,               0.001109,               0.001109
                     47,                 1.6969,                0.95584,                0.95652,                0.69111,                0.57328,                0.62208,                0.29817,                 1.7415,                 0.9638,                 1.0247,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.7039,                0.94809,                0.96591,                0.74412,                 0.5431,                0.63498,                0.30743,                 1.7323,                0.97199,                 1.0153,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.6535,                0.91885,                0.96081,                0.60864,                0.59052,                0.60401,                0.30109,                  1.743,                 1.0115,                 1.0246,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.7102,                0.93264,                0.96073,                  0.628,                0.58941,                0.60078,                0.29714,                 1.7532,                0.98247,                 1.0248,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6877,                0.92502,                0.96804,                0.60978,                0.61207,                0.60402,                 0.2814,                 1.7328,                 1.0092,                 1.0246,                0.00101,                0.00101,                0.00101
                     52,                 1.6863,                0.91731,                0.95406,                0.63643,                0.57759,                0.60376,                0.28181,                 1.7273,                 1.0373,                 1.0186,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.7179,                0.95314,                0.96507,                0.67803,                0.50832,                0.59568,                0.28106,                 1.7642,                 1.0199,                 1.0123,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.7012,                0.95568,                0.95805,                0.57549,                0.61638,                0.59244,                0.28305,                 1.7753,                0.99711,                 1.0182,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.7251,                0.93929,                 0.9565,                0.63018,                0.63362,                0.65403,                0.30467,                 1.7425,                0.92985,                 1.0186,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.7448,                0.94382,                0.97629,                 0.7178,                0.54741,                0.63108,                0.30261,                 1.7593,                0.95072,                 1.0182,               0.000911,               0.000911,               0.000911
                     57,                  1.671,                0.91321,                0.96218,                0.70008,                0.58356,                0.64044,                0.30424,                 1.7328,                0.94262,                  1.019,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.6359,                0.89882,                0.95602,                 0.6715,                0.60795,                0.63389,                0.31345,                 1.6611,                0.93078,                 1.0016,              0.0008714,              0.0008714,              0.0008714
                     59,                  1.601,                0.86974,                0.94662,                0.72375,                0.56464,                0.63316,                0.29845,                 1.7379,                0.93141,                 1.0232,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.6681,                 0.8825,                0.95756,                0.71267,                0.56466,                0.62842,                0.30554,                 1.7416,                0.93478,                 1.0065,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6622,                 0.8927,                0.93573,                0.72195,                0.60345,                0.64094,                0.31153,                 1.6869,                0.92799,                 1.0024,               0.000812,               0.000812,               0.000812
                     62,                 1.6298,                0.89327,                 0.9492,                0.69979,                0.61207,                0.64037,                0.30143,                 1.7323,                0.94048,                 1.0135,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.5718,                0.87142,                0.93736,                 0.7333,                0.59257,                0.64187,                0.30408,                 1.7049,                0.94906,                   1.01,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.5681,                0.85405,                0.93995,                0.75091,                0.55874,                 0.6419,                0.30299,                 1.7329,                0.96007,                 1.0223,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.667,                0.89499,                0.93596,                 0.6733,                0.62931,                0.64329,                0.29205,                 1.7714,                0.98037,                 1.0348,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.6007,                 0.8492,                0.93907,                0.69294,                0.61207,                0.63011,                0.29577,                 1.7559,                 0.9711,                 1.0391,               0.000713,               0.000713,               0.000713
                     67,                 1.5665,                0.86122,                0.93927,                0.71851,                0.62069,                0.65167,                0.31309,                 1.7122,                0.91655,                 1.0175,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.5325,                0.83177,                0.93896,                0.72793,                0.60345,                0.65101,                0.32069,                 1.6925,                0.89367,                 1.0124,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.5676,                0.83691,                0.92765,                0.74599,                0.60776,                0.65591,                0.30343,                 1.7755,                0.95187,                 1.0362,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.5643,                 0.8263,                0.93533,                0.72452,                0.62352,                0.65035,                 0.3179,                 1.7044,                0.90254,                 1.0089,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.5886,                0.85634,                0.94506,                0.69052,                  0.625,                 0.6504,                0.30318,                 1.7482,                0.92568,                 1.0219,               0.000614,               0.000614,               0.000614
                     72,                 1.5431,                0.83384,                0.92312,                0.70213,                  0.625,                0.65654,                0.31025,                 1.7093,                    0.9,                 1.0115,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.5351,                0.80494,                 0.9302,                0.66678,                 0.6555,                0.65984,                0.31803,                 1.7031,                0.88791,                  1.012,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.5353,                0.81627,                0.93794,                0.69846,                0.60902,                0.64458,                0.31305,                 1.7352,                0.89807,                 1.0188,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.5039,                0.79418,                0.91561,                0.71528,                0.56897,                 0.6362,                0.31897,                 1.6903,                 0.9112,                 1.0092,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.5435,                0.81201,                 0.9215,                0.72045,                0.55172,                0.63432,                0.31835,                 1.7254,                0.92476,                 1.0205,               0.000515,               0.000515,               0.000515
                     77,                 1.5556,                0.82169,                0.91593,                0.71004,                0.59914,                0.64237,                0.31379,                 1.7559,                0.89315,                 1.0241,              0.0004952,              0.0004952,              0.0004952
                     78,                  1.496,                0.80937,                0.92394,                0.63572,                 0.6469,                0.65407,                0.30385,                 1.7747,                0.92626,                 1.0284,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.5195,                0.78711,                0.91709,                0.70233,                0.59052,                0.65374,                0.30245,                 1.7856,                0.91227,                 1.0464,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.5511,                0.82518,                0.91461,                0.68093,                  0.625,                0.66476,                0.32006,                 1.7169,                0.88263,                  1.021,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.5499,                0.80415,                0.91948,                0.72504,                0.60238,                0.66221,                0.31655,                 1.7368,                0.88988,                 1.0228,               0.000416,               0.000416,               0.000416
                     82,                 1.5088,                0.78658,                0.91596,                0.72316,                0.59914,                0.65744,                0.31417,                 1.7276,                0.88889,                 1.0244,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.4694,                0.78656,                0.92144,                0.74093,                0.59052,                0.65505,                 0.3191,                 1.7159,                0.89377,                 1.0233,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.5047,                0.78495,                0.90854,                 0.7126,                0.59052,                0.64975,                0.30879,                 1.7673,                0.89386,                 1.0302,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.4924,                0.78437,                0.91346,                0.69163,                0.60776,                 0.6546,                0.30716,                 1.7806,                0.89038,                  1.034,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.5029,                0.78154,                0.91024,                0.67509,                0.64482,                 0.6547,                0.30189,                 1.8097,                0.89207,                 1.0405,               0.000317,               0.000317,               0.000317
                     87,                 1.4907,                0.78093,                0.92236,                0.71342,                  0.625,                0.66287,                0.31475,                 1.7568,                0.87092,                 1.0299,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.4639,                0.77186,                0.90776,                0.74917,                0.59483,                0.65838,                0.31644,                 1.7374,                0.86949,                 1.0243,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.4239,                0.74126,                0.91163,                0.66149,                0.64224,                0.65446,                0.30947,                   1.77,                0.90675,                  1.028,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.4969,                0.77288,                0.93092,                0.69158,                0.60892,                0.64634,                0.31445,                 1.7542,                0.90839,                  1.023,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.4486,                0.76013,                 0.9185,                0.70165,                0.60345,                0.64904,                0.31691,                 1.7387,                0.89888,                 1.0233,               0.000218,               0.000218,               0.000218
