                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8822,                 4.1588,                 1.4626,                0.00104,                0.02155,                0.00054,                0.00023,                 2.2332,                 3.9931,                 1.2688,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.7519,                 3.8825,                 1.3044,                0.01083,                0.22414,                0.00694,                0.00251,                 2.4204,                 3.8406,                 1.1712,             0.00013861,             0.00013861,             0.00013861
                      3,                   2.53,                 3.2558,                 1.1454,                   0.02,                0.41379,                0.01569,                0.00577,                 2.3577,                 3.6609,                 1.0755,             0.00021564,             0.00021564,             0.00021564
                      4,                 2.1841,                 2.1711,                 1.0631,                0.02146,                0.44397,                 0.0171,                0.00691,                 2.1008,                  3.331,                 1.0593,             0.00029109,             0.00029109,             0.00029109
                      5,                 2.2697,                 1.9569,                 1.0272,                0.02125,                0.43966,                0.01682,                0.00691,                 2.0232,                 3.2666,                 1.0533,             0.00036495,             0.00036495,             0.00036495
                      6,                 2.1536,                 1.7415,                 1.0588,                0.02583,                0.53448,                 0.0223,                0.00876,                 2.0038,                 3.2091,                 1.0735,             0.00043723,             0.00043723,             0.00043723
                      7,                 2.1089,                 1.6949,                 1.0285,                0.02979,                0.61638,                0.03338,                0.01465,                 1.8248,                 3.0496,                 1.0348,             0.00050792,             0.00050792,             0.00050792
                      8,                 2.2773,                 1.6768,                 1.0617,                0.02875,                0.59483,                0.11881,                0.05785,                 1.8362,                 2.9666,                 1.0285,             0.00057703,             0.00057703,             0.00057703
                      9,                 2.1377,                 1.6785,                 1.0409,                0.02583,                0.53448,                0.11804,                 0.0598,                 1.8752,                 3.0096,                 1.0274,             0.00064456,             0.00064456,             0.00064456
                     10,                 2.1475,                 1.5833,                  1.023,                0.02771,                0.57328,                0.15206,                0.06748,                 1.8347,                 2.9535,                 1.0246,              0.0007105,              0.0007105,              0.0007105
                     11,                 2.0035,                 1.5147,                 1.0564,                0.02771,                0.57328,                0.16107,                 0.0731,                 1.8417,                  2.894,                 1.0397,             0.00077486,             0.00077486,             0.00077486
                     12,                 2.0459,                 1.4914,                 1.0274,                0.02354,                0.48707,                  0.089,                0.04259,                 1.8642,                 3.0637,                 1.0483,             0.00083763,             0.00083763,             0.00083763
